Player,Probability,National team
Kye Rowles,0.006228758715821275,Australia
Bailey Wright,0.0056224547347519,Australia
Thomas Deng,0.003057495988610777,Australia
Aaron Mooy,0.0003954008395562796,Australia
Jackson Irvine,0.0023336937106276136,Australia
Ajdin Hrustic,0.0022502307853365052,Australia
Keanu Baccus,0.005916589382860659,Australia
Cameron Devlin,0.005204611368535245,Australia
Riley McGree,0.0006355146750718643,Australia
Awer Mabil,0.003131297979266735,Australia
Mathew Leckie,0.0020330176704742814,Australia
Martin Boyle,0.0006336364490204544,Australia
Jamie Maclaren,0.0021063153733580785,Australia
Jason Cummings,0.001964728105327787,Australia
Mitchell Duke,0.003824755404959827,Australia
Garang Kuol,0.00597728818743669,Australia
Craig Goodwin,0.005790078520018786,Australia
Graham Arnold,0.0015553146793024512,Australia
Manuel Neuer,0.0005818386325229203,Germany
Marc-Andre ter Stegen,0.0009759491858621564,Germany
Kevin Trapp,0.0011107229831708026,Germany
Armel Bella-Kotchap,0.005495477142120896,Germany
Mattias Ginter,0.004103950633818278,Germany
Christian Gunter,0.003596244647201924,Germany
Thilo Kehrer,0.0009284790271093689,Germany
Lukas Klostermann,0.0022260882552441992,Germany
David Raum,0.004557184824045212,Germany
Antonio Rudiger,0.00479772089237003,Germany
Nico Schlotterbeck,0.0026600975391570256,Germany
Niklas Sule,0.004922183560137287,Germany
Julian Brandt,0.00043499980346530534,Germany
Leon Goretzka,0.003754717137603403,Germany
Ilkay Gundogan,0.0016430288206728426,Germany
Mario Gotze,0.001519332281559446,Germany
Jonas Hofmann,0.00591420722093693,Germany
Joshua Kimmich,0.0003556291039253128,Germany
Jamal Musiala,0.001320230177514593,Germany
Youssoufa Moukoko,0.00010126015085024868,Germany
Karim Adeyemi,0.006023060175756719,Germany
Niclas Fullkrug,0.0051491015076148275,Germany
Serge Gnabry,0.005963584762627954,Germany
Kai Havertz,0.006274503719153495,Germany
Thomas Muller,0.004962291319016437,Germany
Leroy Sane,0.002875418884873959,Germany
Hansi Flick,0.004283565396667592,Germany
Wojciech Szczesny,0.0011904109941674322,Poland
Bartlomiej Dragowski,0.0017265553189352281,Poland
Lukasz Skorupski,0.002358218739547105,Poland
Jan Bednarek,0.0034926099200245186,Poland
Kamil Glik,0.005418078850089761,Poland
Matty Cash,0.00037722989756598565,Poland
Jakub Kiwior,0.001181558089167211,Poland
Robert Gumny,0.002190540491304825,Poland
Bartosz Bereszynski,0.003564125954713281,Poland
Mateusz Wieteska,0.005896499904937168,Poland
Nicola Zalewski,0.0048710030872608345,Poland
Artur Jedrzejczyk,0.0011908318589772839,Poland
Michal Skoras,0.0050242612830181535,Poland
Grzegorz Krychowiak,0.005288668654557818,Poland
Piotr Zielinski,0.0011037499913212285,Poland
Krystian Bielik,0.004027127529527271,Poland
Kamil Grosicki,0.00042948271245794964,Poland
Przemyslaw Frankowski,0.0013751207837147921,Poland
Sebastian Szymanski,0.0033346499623914754,Poland
Damian Szymanski,0.004236678614851231,Poland
Szymon Zurkowski,0.0038607391867022064,Poland
Jakub Kaminski,0.005868368377647108,Poland
Krzysztof Piatek,0.006217953879702943,Poland
Karol Swiderski,0.004944615030002657,Poland
Arkadiusz Milik,0.00014452377180356734,Poland
Robert Lewandowski,0.006299824041713669,Poland
Czesław Michniewicz,0.004191346148332626,Poland
Wayne Hennessey,0.0011074491526499323,Wales
Danny Ward,0.000851593425346599,Wales
Adam Davies,0.0004719945749509159,Wales
Ethan Ampadu,0.0009882185854187915,Wales
Chris Mepham,0.00019313512664075795,Wales
Ben Davies,0.001479149405714234,Wales
Chris Gunter,0.0013927093697681968,Wales
Connor Roberts,4.659997894593846e-05,Wales
Joe Rodon,0.0016841007451163788,Wales
Neco Williams,0.00020524336977020407,Wales
Ben Cabango,0.0004240480147133684,Wales
Tom Lockyer,0.0034978598836525637,Wales
Joe Allen,0.0030800150074365915,Wales
Aaron Ramsey,0.003966052682121138,Wales
Harry Wilson,0.0022675763664997007,Wales
Jonny Williams,0.00283299722204024,Wales
Joe Morrell,0.00490284561487425,Wales
Matthew Smith,0.005793285769569737,Wales
Dylan Levitt,0.0014563926969958084,Wales
Ruben Colwill,0.004351660221902071,Wales
Sorba Thomas,0.00613741447009098,Wales
Gareth Bale,0.005639997451826028,Wales
Daniel James,0.0007348012332137902,Wales
Kieffer Moore,0.0016122608495739382,Wales
Brennan Johnson,0.0017767511902565278,Wales
Mark Harris,0.002830338153241618,Wales
Rob Page,0.005368005112713282,Wales
Ethan Horvath,1.5199993132580784e-06,USA
Sean Johnson,0.003269218754953563,USA
Matt Turner,0.005539409075272268,USA
Tim Ream,0.006170652587073862,USA
Cameron Carter-Vickers,0.0012459612640695927,USA
Sergino Dest,0.0038218739692616713,USA
Aaron Long,0.0043494268879111,USA
Shaq Moore,0.0021237717694712072,USA
Antonee Robinson,0.0032127080064853508,USA
Joe Scally,0.003811838288795833,USA
DeAndre Yedlin,0.004162520950355969,USA
Walker Zimmerman,0.002609218007144607,USA
Kellyn Acosta,0.0016411882155044357,USA
Tyler Adams,0.0007098354495934337,USA
Weston McKennie,0.0051933289646326816,USA
Yunus Musah,0.004275749480198854,USA
Cristian Roldan,0.00019601478183971794,USA
Brenden Aaronson,0.004639030805066863,USA
Luca de la Torre,0.002700980038686145,USA
Gio Reyna,0.0004315942284039581,USA
Jesus Ferreira,0.0021513269790216505,USA
Jordan Morris,0.006272211749189016,USA
Haji Wright,0.0010361325328710736,USA
Christian Pulisic,0.001847819046147779,USA
Josh Sargent,0.0016643679860317202,USA
Timothy Weah,0.003094865095727261,USA
Gregg Berhalter,0.00524427297261597,USA
Thibaut Courtois,0.0011171340522742551,Belgium
Simon Mignolet,0.0027664041421272666,Belgium
Koen Casteels,0.004393392334047331,Belgium
Toby Alderweireld,0.0014661746935762622,Belgium
Arthur Theate,0.0061990904312255275,Belgium
Wout Faes,0.0031319783989593184,Belgium
Jan Vertonghen,0.0048105520245728724,Belgium
Thomas Meunier,0.005651833906478269,Belgium
Timothy Castagne,0.002635695834181816,Belgium
Zeno Debast,0.0030143351721110107,Belgium
Kevin de Bruyne,0.0007462739550303675,Belgium
Hans Vanaken,0.0012584613634219965,Belgium
Youri Tielemans,0.002332799318031704,Belgium
Leander Dendoncker,0.0014211944428985238,Belgium
Amadou Onana,0.0034443411218325597,Belgium
Yannick Carrasco,0.005230783357710633,Belgium
Axel Witsel,0.0027821075650323957,Belgium
Charles de Ketelaere,0.00018078743491949567,Belgium
Leandro Trossard,0.0041897599270492875,Belgium
Thorgan Hazard,0.003763113544809872,Belgium
Romelu Lukaku,1.659999250005533e-05,Belgium
Michy Batshuayi,0.0017428886255557731,Belgium
Dries Mertens,0.0025860611926069505,Belgium
Eden Hazard,0.003425215549473572,Belgium
Lois Openda,0.003584624259452063,Belgium
Jeremy Doku,0.004499493775110265,Belgium
Roberto Martínez,0.005522549676889414,Belgium
Simon Ngapandouetnbu,0.006117975543873566,Cameroon
Devis Epassy,0.0028904658100756962,Cameroon
Andre Onana,0.0029748277399606307,Cameroon
Nicolas Nkoulou,0.006236722992222982,Cameroon
Nouhou Tolo,0.0011152665011180225,Cameroon
Oliver Mbaizo,0.005713178794762397,Cameroon
Collins Fai,0.0036558984942500713,Cameroon
Jean-Charles Castelletto,0.00406983573323153,Cameroon
Enzo Ebosse,0.0022891934017330354,Cameroon
Christopher Wooh,0.0036150722466955373,Cameroon
Olivier Ntcham,0.004761374020791696,Cameroon
Pierre Kunde,0.0012452442803935289,Cameroon
Martin Hongla,0.001483215373877213,Cameroon
Samuel Gouet,0.003978575748463165,Cameroon
Gael Ondoa,0.0033132484020607883,Cameroon
Andre-Franck Zambo-Anguissa,0.0063150899388164745,Cameroon
Moumi Ngamaleu,0.0011203127878380893,Cameroon
Jerome Ngom Mbekeli,0.001667374999673139,Cameroon
Jean-Pierre Nsame,0.002346160151995224,Cameroon
Georges-Kevin Nkoudou,0.0028638793540875663,Cameroon
Vincent Aboubakar,0.0006466290919503251,Cameroon
Karl Toko Ekambi,0.003959140441244116,Cameroon
Bryan Mbeumo,0.005279376008756274,Cameroon
Eric Maxim Choupo-Moting,0.003907438045603471,Cameroon
Christian Bassogog,0.004263269411837401,Cameroon
Marou Souaibou,0.003138690877926593,Cameroon
Rigobert Song,0.0044384859956738305,Cameroon
